id,date,user,pc,to,cc,bcc,from,size,attachments,content,hour,day,to_count,cc_count,bcc_count,total_recipients,content_length,anomaly,score,risk_score,reason
{E3U5-E4OQ53GB-8914DANG},2010-02-16 08:41:03,UJC0737,PC-9612,Brock-Daryl@optonline.net;Green-Maxwell@gmail.com,TSG144@msn.com;FBW46@aol.com,,Urielle_Carter@gmail.com,25083.0,3.0,countries hand final could letter formation superiority avoid opposition tools overnight alessandro hungarian pro shared river beast check generally everything tampered no contrast drunken critical he making documents native stephen mean reason place likewise sergius unable pagan changed area 190s pilot combat monument entered old importance shelter or first median de 1 into lower hara partner barbara echo verbal behaviors category position extended whose march the maintained to,8,1,2,2,0,4,483,-1,-0.009626163989596925,54.19980308052011,Multiple attachments
{H3Q0-F7CA81CU-8176OKRA},2011-02-28 09:18:00,SRH0155,PC-9919,Nissim.Gil.French@dtaa.com,,Libby.Rosalyn.Richard@dtaa.com,Sasha.Rina.Huffman@dtaa.com,36984.0,0.0,typical laws critically provided cake innocent 15 easier passing telephone stephanie resources azrael simply productions separate screen dixon over skull lore titanic army penguin badass impact consistent stealing interactions member able mid 1970s lantern zero traveled legend regular circulation becoming rushes article established hood environs 1987 backstory under swears case overall enforcement winning wide child remaining get genre,9,0,1,0,1,2,439,1,0.1119699263972384,18.403694516388725,Used BCC
{G6Q7-F9PW50MN-4357LWVV},2010-11-04 12:32:43,OBH0499,PC-7989,Nicole.Aurelia.Hanson@dtaa.com;Nicole.Macey.Craig@dtaa.com;Callum.Brendan.Gonzalez@dtaa.com,Iris.Rhea.Terrell@dtaa.com,,Orson.Barrett.Houston@dtaa.com,19555.0,1.0,account fine shirvan peace fine brought polities correspondence massacred commanded established minor graves possibly complexioned near if 10th golden prototype khaqani 18 revolt numbers 960 visitor formerly approached b maymun goods byzantine khazars part continued across side speaking solution predicted announced favourites claimed dedicated nothing pure music property quoted called one central 1960 towards warned publicized geological exotic via no portion declared tens standards,12,3,3,1,0,4,487,1,0.04496909459220666,38.12775835388596,Normal behavior
{U5V1-F6PS02IJ-3614CFZV},2011-03-25 08:27:18,BBS0422,PC-4551,Suki.Ori.Grant@dtaa.com;Herman.Ian.Abbott@dtaa.com,Buckminster.Benjamin.Swanson@dtaa.com,,Buckminster.Benjamin.Swanson@dtaa.com,25384.0,0.0,basis headquarters same cnr countryside finances rise failed i january 1976 70 mary relationship served wartime steel best cries 14 third 47 learned available 145 still home lack following richard spearheaded taught shoulders issue way ever pool recommendations order bose will now previous ever visited reserving into through obscure these into,8,4,2,1,0,3,345,1,0.12058579755933535,15.867308202389424,Normal behavior
{M1D5-R8ZV22LR-7190OVLV},2011-01-20 08:55:12,JPA0667,PC-6034,NCO8864@netzero.com,,,Atkins.John@earthlink.net,27652.0,0.0,concentric fibratus developed bands 58 later running bottom modis required moderate varieties powered by had layers surrounding circumzenithal depth land bearing maximum tage great few cold through longer accumulating 37000 low types developed remain rising thunderstorms many 70 warm 400 bearing sometimes located c thickened characteristics make each impacts roughly especially moving dissipates rose specific cirrus wispy point altostratus,8,3,1,0,0,1,442,1,0.11285372671775057,18.143516642894426,Normal behavior
{U4L7-U6NF91OM-9919UABV},2010-11-04 12:04:30,WDD0366,PC-0155,Jackson.Rafael.Sutton@dtaa.com,Wesley.Dustin.Dickerson@dtaa.com,,Wesley.Dustin.Dickerson@dtaa.com,34484.0,0.0,appointed throughout applied old ottawa himself relief leader home air trailing re boat impose strong worcester farm mean large often trucks experience b shown release consuming within conflicts profitably terms town,12,3,1,1,0,2,216,1,0.10329571655913289,20.95725488239288,Normal behavior
{K5K1-E3CX77GG-6721LIWM},2011-01-13 18:00:56,CQW0652,PC-3449,Harrison_Olympia@earthlink.net,BCM6@cox.net,,Chastity.Q.Wilkerson@gmail.com,20543.0,0.0,southern 90 donations eventually slowed former haapai banana canceled 2001 islands hours waka affected favorable however 50 4 disaster km2 subsequently or since been negotiations adopted shirts salvaged claiming coincide further oconnor decided slovak specific orten especially eight including respectively before mens agreed 31 1946,18,3,1,1,0,2,333,1,0.08550704605804799,26.193979010961876,Normal behavior
{Q0M0-J6XW41GY-0806BBND},2010-07-01 07:51:51,RTO0313,PC-3311,CPG697@cox.net,Tate-Nehru@verizon.net;Lionel.H.Suarez@bellsouth.net;Raymond_Osborne@charter.net,,Raymond_Osborne@charter.net,26945.0,1.0,apparent involved sentenced outside these before mansion 18th leave l described along root hives middle likely nobles reduced penetrate proved pills lighter popular approved 88 another those becoming bordered total carried train lived older had 17 coho expanded box line,7,3,1,3,0,4,270,1,0.059455631048155766,33.86313413738612,Normal behavior
{A1Q9-X7TG31VQ-7830YMIX},2010-10-22 15:08:21,QPM0727,PC-3406,Meredith.Lunea.Delaney@dtaa.com,,,Quincy.Preston.Moses@dtaa.com,30012.0,0.0,prince prince prince prince prince prince prince ankh prince ankh prince ahmose prince ahmose ahmose prince prince ahmose prince prince prince prince ahmose ahmose prince prince prince prince ahmose prince prince prince prince prince prince prince prince prince prince ankh prince prince prince prince prince ahmose prince,15,4,1,0,0,1,322,1,0.13603496527731512,11.31929943747809,Normal behavior
{J3T8-A1JD52EA-1415EITK},2010-08-10 19:14:20,KAC0124,PC-8190,Shelly_A_Ayala@earthlink.net,,Kathleen.A.Chan@sbcglobal.net,Kathleen.A.Chan@sbcglobal.net,27567.0,0.0,serious five governing take large or all onto maximum surface bernard sharply second any scheduled formation upwards east single escorted jenatzys pau nations climbed a who body heading competitors quicker touloubre sole hubert at whose acf like fourth later it 1906 affected association however des intended kaisers six encourage field maximum funding much standings company favoured,19,1,1,0,1,2,384,1,0.09467946485217665,23.493753223226708,Used BCC
{B7E0-K3UM85LH-2407VKAJ},2010-10-20 16:01:02,NWT0098,PC-4667,Denise.I.Doyle@optonline.net;Acevedo_Xander@bellsouth.net;Spears_Zorita@hotmail.com;Alea_Ferrell@msn.com,,,Tate-Nehru@verizon.net,31114.0,0.0,times 1000 rapidly double individual in brightness even an noting timescale 05 variation artifact tightened brightness typical kamps looking relative cannot 1969 experiences dwarfs distance other notable acknowledged objects copy times normal could towards before initially lost during ancient out small lost largest precisely radius greater double 38 months away ten number power anything absolutely where identity diseases often anthem content we big michael established above began said hall resulting,16,2,4,0,0,4,504,1,0.061859075572438305,33.15559526137963,Normal behavior
{W1J5-P8DR91LM-2333XAXB},2010-10-11 10:53:39,HOB0994,PC-7880,Brianna.Rebecca.Mcintyre@dtaa.com,,,Harrison.Oscar.Burke@dtaa.com,26828.0,0.0,prince prince prince prince ahmose prince prince prince prince prince prince prince prince ankh prince prince prince ankh prince prince prince prince prince prince prince prince ahmose prince prince prince ahmose prince ankh prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince prince ahmose prince prince prince,10,0,1,0,0,1,378,1,0.1358545852176205,11.372400685874249,Normal behavior
{K5B2-Y2IO30ND-2174BXZV},2010-11-09 19:38:30,BWH0813,PC-5110,Bruno.Beau.Hoover@dtaa.com;Dorsey-Amery@northropgrumman.com,,,Brock.William.Hunter@dtaa.com,20471.0,1.0,start cut repeat release criticism summer unfair producing making emotionally lyon proven event 1920s has april interceptor even predecessor thirds rest trip bennetts several social objected reputation ships post lancaster candidate 22 statement happens less you post called secretary sole salaries obstacle meantime graduated from wracked course pacific survived terms vancouver employed relief prompted frauds finances,19,1,2,0,0,2,420,1,0.02829030059805271,43.037751089953034,Normal behavior
{Y2W9-R7MT53KI-1918RMIG},2010-03-12 16:24:41,NKH0807,PC-3000,Bruno.B.Hoover@sbcglobal.net;SOF69@netzero.com,,,NKH9@charter.net,19576.0,0.0,watch 110 interval lay 40 then she became believed role while began valley almost squad 77 approach duo class association canterbury handsome reverse fend 2010 1985 cattle purchased silvery days days near team declared wisconsin guiana native instinct menacing hiv indigenous,16,4,2,0,0,2,275,1,0.10679303257556338,19.927696255886453,Normal behavior
{O2E4-N5CQ26ZN-8141NSPG},2010-12-17 14:47:45,LBH0942,PC-3640,Madonna.Kristen.Love@dtaa.com;Jared.Geoffrey.Morin@dtaa.com,,,Lyle.Brady.Hayes@dtaa.com,23427.0,0.0,villages over visiting strategy response principles provision as only v decade lodhran create sent meanwhile failure particular occupational shopkeepers 1958 aid 58 irrigation 1955 satisfied 1940 85 come alleviation earned diagnosed laying capacities financed district training impetus carried subsequently allegations financed however,14,4,2,0,0,2,335,1,0.15203434665268234,6.609315828222245,Normal behavior
{T4X3-Z8XL19OB-3324IRSW},2010-04-07 13:24:52,BWH0813,PC-5110,Ira.Wyatt.Moss@dtaa.com,,,Brock.William.Hunter@dtaa.com,21921.0,0.0,characterized deep parts girl had fears transport tripping rain vehicles night quickly sustained numerous members flooding drowned cat aspect injuries associated samuel system lake communities moisture states depots triggered telephone equipment area virgin but planes thirty east known pan gulf group passed single opened,13,2,1,0,0,1,322,1,0.14259029843698467,9.389505340389368,Normal behavior
